num,locyrwntc,Location,year,Crop,WateringRegime,NapplicnQ,TOS,Cultivar,Zn,Fe,N,P,K,S,B,Ca,Mg,Mn,Cu,Yield,CorrYield,protein,LocYrCrL1L2L3WNTC,LocYrCrL1L2WNTC,LocYrCrWNTC,CropCO2,PairedFACEdata$Location,RRB,RRCa,RRCu,RRFe,RRK,RRMg,RRMn,RRN,RRP,RRP,RRS,RRZn,RRyield
1,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Clark,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Clark,38.1,86.9,6.42,0.595,2.01,3350,69.5,0.323,0.262,31,10.3,,,,Champaign__Illinois 2001 soybean 1 2 24 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark,soybean aCO2,Champaign__Illinois,0.690647482,1.003095975,1.300970874,1.002301496,1.014925373,0.958015267,1.029032258,1.009345794,1.05210084,1.05210084,0.964179104,1.283464567,
2,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Dwight,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Dwight,37.3,76.8,6.12,0.602,1.99,3100,43.9,0.338,0.262,32.2,10.9,,,,Champaign__Illinois 2001 soybean 1 2 3 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight,soybean aCO2,Champaign__Illinois,1.148063781,1.01183432,1.247706422,1.018229167,1.015075377,0.946564885,1.059006211,0.990196078,0.958471761,0.958471761,0.996774194,1.147453083,
3,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Flyer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Flyer,35.5,86.1,6.55,0.577,1.86,3370,99.6,0.361,0.245,30,8.8,,,,Champaign__Illinois 2001 soybean 1 2 20 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer,soybean aCO2,Champaign__Illinois,0.451807229,0.87534626,1.306818182,0.879210221,1.048387097,0.92244898,0.95,0.963358779,1.013864818,1.013864818,1.023738872,1.109859155,
4,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Loda,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Loda,39.4,88.2,6.05,0.661,2.06,3210,43,0.285,0.259,29.1,12.4,,,,Champaign__Illinois 2001 soybean 1 2 4 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda,soybean aCO2,Champaign__Illinois,1.1,0.933333333,1.040322581,0.80952381,1.014563107,0.942084942,0.969072165,1.00661157,0.901664145,0.901664145,0.956386293,1.02284264,
5,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Pana,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Pana,39.3,79.8,6.2,0.652,1.94,3070,62,0.346,0.253,31.6,10.9,,,,Champaign__Illinois 2001 soybean 1 2 25 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana,soybean aCO2,Champaign__Illinois,0.761290323,1.011560694,1.229357798,0.957393484,0.979381443,0.928853755,1.009493671,1.022580645,0.901840491,0.901840491,0.983713355,1.094147583,
6,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Spencer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Spencer,36.3,84.9,6.38,0.627,2.08,3270,54.6,0.237,0.246,32.9,8.9,,,,Champaign__Illinois 2001 soybean 1 2 14 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer,soybean aCO2,Champaign__Illinois,0.904761905,0.962025316,1.314606742,0.912838634,1.014423077,0.930894309,0.939209726,1.006269592,1.003189793,1.003189793,0.978593272,1.129476584,
7,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Williams,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Williams,41.3,80,6.55,0.638,1.95,3280,86.5,0.245,0.242,29,11.9,,,,Champaign__Illinois 2001 soybean 1 2 9 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Williams,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams,soybean aCO2,Champaign__Illinois,0.58265896,1.089795918,1.075630252,0.9575,0.979487179,0.954545455,1.04137931,0.98778626,0.89968652,0.89968652,0.951219512,0.983050847,
8,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Clark,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Clark,48.7,82.7,6.46,0.597,2.02,3260,47,0.344,0.258,32.8,13.8,,,,Champaign__Illinois 2001 soybean 2 4 20 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark,soybean aCO2,Champaign__Illinois,1.053191489,0.944767442,0.833333333,0.938331318,0.985148515,0.937984496,0.771341463,1.030959752,1.02680067,1.02680067,0.923312883,0.815195072,
9,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Dwight,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Dwight,46.7,81.1,6.01,0.535,1.98,3070,43.9,0.335,0.254,35.8,14.6,,,,Champaign__Illinois 2001 soybean 2 4 19 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight,soybean aCO2,Champaign__Illinois,1.045558087,0.958208955,0.897260274,0.887792848,1,0.92519685,0.689944134,0.991680532,1.175700935,1.175700935,0.980456026,0.832976445,
10,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Flyer,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Flyer,43.8,81.9,6.72,0.548,1.93,3480,45.1,0.306,0.226,27.9,13.4,,,,Champaign__Illinois 2001 soybean 2 4 25 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer,soybean aCO2,Champaign__Illinois,1.006651885,1.029411765,0.78358209,1.06959707,1.020725389,1.026548673,0.849462366,0.961309524,1.03649635,1.03649635,0.922413793,0.783105023,
