countrycode,PERCENT_OF_PROTEIN,PERCENT_OF_DIET
AFG,,
ALB,-3.71,-0.52
DZA,-5.34,-0.63
AND,,
AGO,-4.19,-0.39
ATG,-1.98,-0.30
ARG,-2.22,-0.30
ARM,-4.80,-0.63
AUS,-2.29,-0.30
AUT,-2.57,-0.30
AZE,-5.17,-0.64
BHS,-2.46,-0.32
BHR,,
BGD,-4.77,-0.47
BRB,-2.33,-0.29
BLR,-3.72,-0.44
BEL,-2.88,-0.32
BLZ,-2.74,-0.29
BEN,-4.52,-0.47
BTN,,
BOL,-3.49,-0.41
BIH,-4.31,-0.52
BWA,-2.58,-0.31
BRA,-2.57,-0.30
BRN,-2.93,-0.32
BGR,-3.37,-0.40
BFA,-0.61,-0.08
BDI,-3.89,-0.44
CIV,-5.28,-0.45
CPV,-3.30,-0.39
KHM,-4.26,-0.47
CMR,-3.78,-0.41
CAN,-2.67,-0.34
CAF,-2.84,-0.28
TCD,-1.38,-0.18
CHL,-3.33,-0.43
CHN,-5.23,-0.67
COL,-2.57,-0.27
COM,-3.57,-0.34
COG,-4.90,-0.41
COK,,
CRI,-2.71,-0.30
HRV,-3.19,-0.36
CUB,-4.06,-0.45
CYP,-2.73,-0.34
CZE,-2.65,-0.31
ZAR,-5.70,-0.66
DJI,-4.79,-0.29
DNK,-2.51,-0.34
DJI,-4.56,-0.47
DMA,-2.64,-0.34
DOM,-2.84,-0.28
ECU,-2.58,-0.28
EGY,-5.36,-0.66
SLV,-3.03,-0.35
GNQ,,
ERI,-2.54,-0.33
EST,-2.97,-0.37
ETH,-3.91,-0.49
FJI,-3.39,-0.35
FIN,-2.49,-0.35
FRA,-2.50,-0.33
GAB,-2.95,-0.37
GMB,-2.05,-0.21
GEO,-4.50,-0.51
DEU,-2.55,-0.31
GHA,-4.18,-0.36
GRC,-3.48,-0.46
GRD,-1.84,-0.24
GTM,-3.62,-0.42
GIN,-5.75,-0.51
GNB,-4.14,-0.32
GUY,-3.36,-0.39
HTI,-4.30,-0.41
HND,-3.21,-0.33
HUN,-3.46,-0.37
ISL,-1.85,-0.31
IND,-4.39,-0.46
IDN,-4.34,-0.41
IRN,-5.02,-0.60
IRQ,,
IRL,-2.91,-0.37
ISR,-2.81,-0.42
ITA,-3.14,-0.40
JAM,-3.37,-0.39
JPN,-2.72,-0.37
JOR,-4.16,-0.46
KAZ,-3.86,-0.52
KEN,-3.47,-0.41
KIR,-3.40,-0.37
KWT,-3.06,-0.41
KGZ,-4.48,-0.59
LAO,-5.40,-0.63
LVA,-3.45,-0.42
LBN,-3.74,-0.43
LSO,-3.89,-0.47
LBR,-5.53,-0.39
LBY,-4.85,-0.52
LTU,-2.58,-0.40
LUX,-2.12,-0.28
MDG,-4.86,-0.47
MWI,-3.83,-0.43
MYS,-2.96,-0.34
MDV,-2.74,-0.42
MLI,-1.72,-0.20
MLT,-3.44,-0.47
MHL,,
MRT,-2.85,-0.36
MUS,-3.25,-0.39
MEX,-2.61,-0.31
FSM,,
MCO,,
MNG,-2.82,-0.39
MNE,-3.06,-0.34
MAR,-5.36,-0.62
MOZ,-4.64,-0.36
MMR,-3.55,-0.49
NAM,-3.17,-0.37
NRU,,
NPL,-5.16,-0.55
NLD,-2.16,-0.30
NZL,-2.91,-0.36
NIC,-3.45,-0.39
NER,-0.21,-0.03
NGA,-2.83,-0.28
NIU,,
NOR,-2.63,-0.34
OMN,,
PAK,-3.58,-0.39
PLW,,
PAN,-2.71,-0.33
PNG,,
PRY,-2.49,-0.27
PER,-3.86,-0.45
PHL,-3.93,-0.39
POL,-3.66,-0.46
PRT,-3.05,-0.41
QAT,,
KOR,-4.34,-0.50
MDA,-4.44,-0.48
ROM,-3.67,-0.50
RUS,-3.45,-0.46
RWA,-3.78,-0.41
KNA,-2.43,-0.29
LCA,-2.36,-0.33
VCT,-2.69,-0.33
WSM,-2.41,-0.27
SMR,,
STP,-4.72,-0.46
SAU,-3.82,-0.45
SEN,-3.38,-0.36
SRB,-3.28,-0.40
SYC,-3.16,-0.43
SLE,-3.72,-0.37
SGP,,
SVK,-3.55,-0.38
SVN,-2.62,-0.34
SLB,-5.29,-0.50
SOM,,
ZAF,-3.31,-0.39
ESP,-2.63,-0.35
LKA,-4.04,-0.41
SDN,-1.01,-0.13
SUR,-3.67,-0.33
SWZ,-3.87,-0.42
SWE,-2.19,-0.32
CHE,-2.49,-0.29
SYR,-4.43,-0.49
TJK,-6.12,-0.68
THA,-3.68,-0.34
MKD,-4.10,-0.45
TLS,-3.88,-0.44
TGO,-3.91,-0.39
TON,,
TTO,-2.96,-0.30
TUN,-5.12,-0.62
TUR,-5.14,-0.63
TKM,-4.41,-0.60
TUV,,
UGA,-2.93,-0.27
UKR,-4.01,-0.46
ARE,-3.26,-0.44
GBR,-2.75,-0.35
TZA,-3.71,-0.40
USA,-2.23,-0.29
URY,-3.36,-0.40
UZB,-5.33,-0.68
VUT,-4.08,-0.41
VEN,-2.69,-0.31
VNM,-4.01,-0.46
YEM,-4.30,-0.49
ZMB,-3.79,-0.40
ZMB,-3.03,-0.32
,,
,-2.67,-0.32
NCL,-2.86,-0.35
PSE,-5.40,-0.62
BMU,-2.29,-0.30
PYF,-2.22,-0.31
,,
