,pair,Study.x,Location.x,Year.x,Crop.x,Cultivar.x,WateringRegime.x,Pptn.x,Irrign.x,TotH2O.x,CO2treatment.x,NapplicnQ.x,Napplicn.x,Phos_App.x,Temperature_treatment.x,TOS.x,CO2_indicator.x,Pair_Count.x,Pair.CO2_ID.x,X24hCO2.x,Yield.x,Zn.x,Fe.x,Ph.x,N.x,P.x,K.x,S.x,B.x,Ca.x,Mg.x,Mn.x,Cu.x,Znu.x,Feu.x,Phu.x,Nu.x,Pu.x,Ku.x,Su.x,Bu.x,Cau.x,Mgu.x,Mnu.x,Cuu.x,Study,Location,Year,Crop,Cultivar,WateringRegime,Pptn,Irrign,TotH2O,CO2treatment,NapplicnQ,Napplicn,Phos_App,Temperature_treatment,TOS,CO2_indicator,Pair_Count,Pair.CO2_ID,X24hCO2,Yield,Zn,Fe,Ph,N,P,K,S,B,Ca,Mg,Mn,Cu,Znu,Feu,Phu,Nu,Pu,Ku,Su,Bu,Cau,Mgu,Mnu,Cuu,RRYield,RRZn,RRFe,RRPh,RRN,RRP,RRK,RRS,RRB,RRCa,RRMg,RRMn,RRCu,RRZnu,RRFeu,RRPhu,RRNu,RRPu,RRKu,RRSu,RRBu,RRCau,RRMgu,RRMnu,RRCuu
1,1,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Dry,133,48,181,aCO2,Low,0,0,,TOS1,0,1,10,No,259.984639,28.11,33.8775,1.869791667,14.240215,,,,,,,,,7308.168202,8807.629608,486.1171116,3702.237156,,,,,,,,,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Dry,133,48,181,eCO2,Low,0,0,,TOS1,1,1,11,No,272.2734255,31.275,30.68,1.958466667,13.8562975,,,,,,,,,8515.351383,8353.348694,533.2384282,3772.701585,,,,,,,,,1.047267356,1.112593383,0.905615822,1.04742507,0.973039908,,,,,,,,,1.165182731,0.948421887,1.096934083,1.019032932,,,,,,,,
2,10,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Wet,79,96,175,aCO2,Low,0,0,,TOS2,0,10,100,No,232.6324885,37.675,39.7675,2.469516667,14.0352325,,,,,,,,,8764.429004,9251.212486,574.4898076,3265.051063,,,,,,,,,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Wet,79,96,175,eCO2,Low,0,0,,TOS2,1,10,101,No,296.6052227,36.3925,36.7975,2.1506,13.40594,,,,,,,,,10794.20557,10914.33068,637.8791919,3976.271819,,,,,,,,,1.274994841,0.965958859,0.925315899,0.87085867,0.955163372,,,,,,,,,1.231592561,1.179772997,1.110340311,1.217828372,,,,,,,,
3,100,RiceFACE,Tsukubamirai_Japan,2010,Rice,86Y8,Wet,,,,aCO2,High,160,,NormalTemperature,,0,100,1000,,,28.275,10.775,,1.295,0.31775,0.26,982.5,1.625,0.01375,0.1165,50.075,3.9,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,86Y8,Wet,,,,eCO2,High,160,,NormalTemperature,,1,100,1001,,,28.8,11.2,,1.205,0.32875,0.285,927.5,2.225,0.0155,0.11975,52.375,3.275,,,,,,,,,,,,,,1.018567639,1.039443155,,0.930501931,1.034618411,1.096153846,0.944020356,1.369230769,1.127272727,1.027896996,1.045931103,0.83974359,,,,,,,,,,,,
4,101,RiceFACE,Tsukubamirai_Japan,2010,Rice,Aikoku,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,101,1010,,479,32.025,11.35,,1.5,0.3965,0.3975,1087.5,2.325,0.01425,0.14925,46.2,3.575,15339.975,5436.65,,718.5,189.9235,190.4025,520912.5,1113.675,6.82575,71.49075,22129.8,1712.425,RiceFACE,Tsukubamirai_Japan,2010,Rice,Aikoku,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,101,1011,,606,28.075,9.85,,1.31,0.3535,0.37,962.5,2.3,0.01375,0.13375,33.875,2.85,17013.45,5969.1,,793.86,214.221,224.22,583275,1393.8,8.3325,81.0525,20528.25,1727.1,1.265135699,0.87665886,0.86784141,,0.873333333,0.891551072,0.93081761,0.885057471,0.989247312,0.964912281,0.896147404,0.733225108,0.797202797,1.10909242,1.097937149,,1.104885177,1.127933089,1.177610588,1.119717803,1.25153209,1.220744973,1.133748072,0.92762926,1.008569718
5,102,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akidawara,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,102,1020,,513,33.925,12.3,,1.3125,0.33975,0.2925,985,2.475,0.01225,0.135,38.825,3.05,17403.525,6309.9,,673.3125,174.29175,150.0525,505305,1269.675,6.28425,69.255,19917.225,1564.65,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akidawara,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,102,1021,,647,30.725,11.15,,1.19,0.332,0.295,877.5,2.525,0.01275,0.135,32.45,2.85,19879.075,7214.05,,769.93,214.804,190.865,567742.5,1633.675,8.24925,87.345,20995.15,1843.95,1.261208577,0.905674282,0.906504065,,0.906666667,0.97718911,1.008547009,0.890862944,1.02020202,1.040816327,1,0.835801674,0.93442623,1.142244172,1.143290702,,1.143495776,1.232439286,1.271988137,1.123563986,1.286687538,1.312686478,1.261208577,1.05412024,1.178506375
6,103,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akihikari,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,103,1030,,545,28.825,17.375,,1.2625,0.3345,0.335,905,2.625,0.0105,0.13075,29.8,4.225,15709.625,9469.375,,688.0625,182.3025,182.575,493225,1430.625,5.7225,71.25875,16241,2302.625,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akihikari,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,103,1031,,560,28.4,16.125,,1.175,0.32725,0.33,832.5,2.6,,0.127,24.975,3.05,15904,9030,,658,183.26,184.8,466200,1456,,71.12,13986,1708,1.027522936,0.985255854,0.928057554,,0.930693069,0.978325859,0.985074627,0.919889503,0.99047619,,0.971319312,0.838087248,0.721893491,1.012372988,0.953600422,,0.956308475,1.005252259,1.012186773,0.945207562,1.017737003,,0.998052871,0.86115387,0.741762119
7,104,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akita63,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,104,1040,,577,24.875,10.975,,1.195,0.3075,0.3175,862.5,2.175,,0.1295,34.325,3,14352.875,6332.575,,689.515,177.4275,183.1975,497662.5,1254.975,,74.7215,19805.525,1731,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akita63,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,104,1041,,691,23.625,10.625,,1.1225,0.304,0.32,805,2.3,,0.1285,29.875,2.725,16324.875,7341.875,,775.6475,210.064,221.12,556255,1589.3,,88.7935,20643.625,1882.975,1.197573657,0.949748744,0.968109339,,0.939330544,0.988617886,1.007874016,0.933333333,1.057471264,,0.992277992,0.870356883,0.908333333,1.137394076,1.159382242,,1.124917514,1.183942737,1.207003371,1.117735413,1.266399729,,1.188325984,1.042316475,1.087796072
8,105,RiceFACE,Shizukuishi_Japan,2007,Rice,Akitakomachi,Wet,,,,aCO2,Medium,80,131,NormalTemperature,,0,105,1050,,556,26.9,9.766666667,,1.316666667,0.355666667,0.263333333,926.6666667,1.333333333,,0.131333333,22.03333333,1.633333333,14956.4,5430.266667,,732.0666669,197.7506669,146.4133331,515226.6667,741.3333331,,73.02133315,12250.53333,908.1333331,RiceFACE,Shizukuishi_Japan,2007,Rice,Akitakomachi,Wet,,,,eCO2,Medium,80,131,NormalTemperature,,1,105,1051,,671,25.1,9.2,,1.21,0.359333333,0.27,896.6666667,1.366666667,0.010333333,0.133333333,26.2,1.633333333,16842.1,6173.2,,811.91,241.1126664,181.17,601663.3334,917.0333336,6.933666443,89.46666644,17580.2,1095.966666,1.206834532,0.933085502,0.941979522,,0.918987342,1.010309276,1.025316457,0.967625899,1.025000001,,1.015228426,1.189107413,1,1.126079805,1.136813416,,1.109065659,1.219276123,1.237387307,1.16776435,1.237005396,,1.225212723,1.435055889,1.206834532
9,106,RiceFACE,Shizukuishi_Japan,2007,Rice,Akitakomachi,Wet,,,,aCO2,Medium,80,131,ElevatedTemperature,,0,106,1060,,,31.2,11.3,,1.356666667,0.378666667,0.28,1006.666667,1.6,,0.142,22.13333333,1.533333333,,,,,,,,,,,,,RiceFACE,Shizukuishi_Japan,2007,Rice,Akitakomachi,Wet,,,,eCO2,Medium,80,131,ElevatedTemperature,,1,106,1061,,,30.03333333,10.96666667,,1.296666667,0.383,0.283333333,980,1.666666667,0.010333333,0.142,26.63333333,1.8,,,,,,,,,,,,,,0.962606838,0.970501475,,0.955773956,1.011443661,1.011904761,0.973509933,1.041666667,,1,1.203313253,1.173913044,,,,,,,,,,,,
10,107,RiceFACE,Shizukuishi_Japan,2008,Rice,Akitakomachi,Wet,,,,aCO2,Medium,80,131,NormalTemperature,,0,107,1070,,622,24.5,8.933333333,,1.246666667,0.339333333,0.26,896.6666667,1.266666667,0.010666667,0.126,24.13333333,1.666666667,15239,5556.533333,,775.4266669,211.0653331,161.72,557726.6667,787.8666669,6.634666874,78.372,15010.93333,1036.666667,RiceFACE,Shizukuishi_Japan,2008,Rice,Akitakomachi,Wet,,,,eCO2,Medium,80,131,NormalTemperature,,1,107,1071,,748,24,8.3,,1.15,0.346333333,0.266666667,843.3333333,1.333333333,0.011666667,0.130666667,29.33333333,1.7,17952,6208.4,,860.2,259.0573331,199.4666669,630813.3333,997.3333331,8.726666916,97.73866692,21941.33333,1271.6,1.202572347,0.979591837,0.929104478,,0.922459893,1.020628684,1.025641027,0.940520446,1.052631578,1.093749997,1.03703704,1.215469613,1.02,1.178030054,1.117315353,,1.109324759,1.227379832,1.233407537,1.13104388,1.265865628,1.315313501,1.247112067,1.461690146,1.226623794
