,Crop,Nutrient,Pr.Chi.,
<none>,Wheat,Fe,NA,
CO2treatment:as.factor(WateringRegime):as.factor(NapplicnQ),Wheat,Fe,0.57223,
<none>1,Wheat,Yield,NA,
CO2treatment:as.factor(WateringRegime):as.factor(NapplicnQ)1,Wheat,Yield,0.98535,
<none>2,Wheat,Zn,NA,
CO2treatment:as.factor(WateringRegime):as.factor(NapplicnQ)2,Wheat,Zn,0.46736,
<none>3,Wheat,Fe,NA,
CO2treatment:as.factor(WateringRegime):as.factor(NapplicnQ)3,Wheat,Fe,0.57223,
<none>4,Wheat,Ph,NA,
CO2treatment:as.factor(WateringRegime):as.factor(NapplicnQ)4,Wheat,Ph,0.87164,
<none>5,Wheat,N,NA,
CO2treatment:as.factor(WateringRegime):as.factor(NapplicnQ)5,Wheat,N,0.54408,
13,NA,NA,NA,
14,NA,NA,NA,
15,NA,NA,NA,
16,NA,NA,NA,
17,NA,NA,NA,
18,NA,NA,NA,
19,NA,NA,NA,
20,NA,NA,NA,
<none>6,Fieldpeas,Yield,NA,
CO2treatment:as.factor(WateringRegime),Fieldpeas,Yield,0.8111,
<none>7,Fieldpeas,Zn,NA,
CO2treatment:as.factor(WateringRegime)1,Fieldpeas,Zn,0.02158,
<none>8,Fieldpeas,Fe,NA,
CO2treatment:as.factor(WateringRegime)2,Fieldpeas,Fe,0.07322,
27,NA,NA,NA,
<none>9,Fieldpeas,N,NA,
CO2treatment:as.factor(WateringRegime)3,Fieldpeas,N,0.92986,
<none>10,Fieldpeas,P,NA,
CO2treatment:as.factor(WateringRegime)4,Fieldpeas,P,0.99355,
<none>11,Fieldpeas,K,NA,
CO2treatment:as.factor(WateringRegime)5,Fieldpeas,K,0.74134,
<none>12,Fieldpeas,S,NA,
CO2treatment:as.factor(WateringRegime)6,Fieldpeas,S,0.90674,
<none>13,Fieldpeas,B,NA,
CO2treatment:as.factor(WateringRegime)7,Fieldpeas,B,0.27323,
<none>14,Fieldpeas,Ca,NA,
CO2treatment:as.factor(WateringRegime)8,Fieldpeas,Ca,0.47181,
<none>15,Fieldpeas,Mg,NA,
CO2treatment:as.factor(WateringRegime)9,Fieldpeas,Mg,0.95687,
<none>16,Fieldpeas,Mn,NA,
CO2treatment:as.factor(WateringRegime)10,Fieldpeas,Mn,0.78996,
<none>17,Fieldpeas,Cu,NA,
CO2treatment:as.factor(WateringRegime)11,Fieldpeas,Cu,0.03155,
46,NA,NA,NA,
<none>18,Rice,Zn,NA,
CO2treatment:as.factor(NapplicnQ),Rice,Zn,0.03576,*
<none>19,Rice,Fe,NA,
CO2treatment:as.factor(NapplicnQ)1,Rice,Fe,0.63044,
51,NA,NA,NA,
<none>20,Rice,N,NA,
CO2treatment:as.factor(NapplicnQ)2,Rice,N,0.05371,
<none>21,Rice,P,NA,
CO2treatment:as.factor(NapplicnQ)3,Rice,P,0.05149,
<none>22,Rice,K,NA,
CO2treatment:as.factor(NapplicnQ)4,Rice,K,0.0202,
<none>23,Rice,S,NA,
CO2treatment:as.factor(NapplicnQ)5,Rice,S,0.0848,
<none>24,Rice,B,NA,
CO2treatment:as.factor(NapplicnQ)6,Rice,B,0.01091,
<none>25,Rice,Ca,NA,
CO2treatment:as.factor(NapplicnQ)7,Rice,Ca,0.03372,
<none>26,Rice,Mg,NA,
CO2treatment:as.factor(NapplicnQ)8,Rice,Mg,0.13811,
<none>27,Rice,Mn,NA,
CO2treatment:as.factor(NapplicnQ)9,Rice,Mn,0.99205,
<none>28,Rice,Cu,NA,
CO2treatment:as.factor(NapplicnQ)10,Rice,Cu,0.06991,
70,NA,NA,NA,
<none>29,Sorghum,Zn,NA,
CO2treatment:as.factor(WateringRegime)12,Sorghum,Zn,0.00366,
<none>30,Sorghum,Fe,NA,
CO2treatment:as.factor(WateringRegime)13,Sorghum,Fe,0.00191,
75,NA,NA,NA,
<none>31,Sorghum,N,NA,
CO2treatment:as.factor(WateringRegime)14,Sorghum,N,0.00823,
<none>32,Sorghum,P,NA,
CO2treatment:as.factor(WateringRegime)15,Sorghum,P,0.00187,
<none>33,Sorghum,K,NA,
CO2treatment:as.factor(WateringRegime)16,Sorghum,K,0.15846,
<none>34,Sorghum,S,NA,
CO2treatment:as.factor(WateringRegime)17,Sorghum,S,0.01831,
<none>35,Sorghum,B,NA,
CO2treatment:as.factor(WateringRegime)18,Sorghum,B,0.47734,
<none>36,Sorghum,Ca,NA,
CO2treatment:as.factor(WateringRegime)19,Sorghum,Ca,0.02715,
<none>37,Sorghum,Mg,NA,
CO2treatment:as.factor(WateringRegime)20,Sorghum,Mg,0.00426,
<none>38,Sorghum,Mn,NA,
CO2treatment:as.factor(WateringRegime)21,Sorghum,Mn,0.07996,
<none>39,Sorghum,Cu,NA,
CO2treatment:as.factor(WateringRegime)22,Sorghum,Cu,0.00012,
94,NA,NA,NA,
<none>40,soybean,Zn,NA,
CO2treatment,soybean,Zn,0,
<none>41,soybean,Fe,NA,
CO2treatment1,soybean,Fe,4.00E-05,
99,NA,NA,NA,
<none>42,soybean,N,NA,
CO2treatment2,soybean,N,0.26424,
<none>43,soybean,P,NA,
CO2treatment3,soybean,P,0.37049,
<none>44,soybean,K,NA,
CO2treatment4,soybean,K,0.85647,
<none>45,soybean,S,NA,
CO2treatment5,soybean,S,0,
<none>46,soybean,B,NA,
CO2treatment6,soybean,B,0.00013,
<none>47,soybean,Ca,NA,
CO2treatment7,soybean,Ca,0,
<none>48,soybean,Mg,NA,
CO2treatment8,soybean,Mg,0,
<none>49,soybean,Mn,NA,
CO2treatment9,soybean,Mn,0.20299,
<none>50,soybean,Cu,NA,
CO2treatment10,soybean,Cu,5.00E-05,
118,NA,NA,NA,
<none>51,Corn,Zn,NA,
CO2treatment:as.factor(NapplicnQ)11,Corn,Zn,0.32975,
<none>52,Corn,Fe,NA,
CO2treatment:as.factor(NapplicnQ)12,Corn,Fe,0.01588,
123,NA,NA,NA,
<none>53,Corn,N,NA,
CO2treatment:as.factor(NapplicnQ)13,Corn,N,0.00336,
<none>54,Corn,P,NA,
CO2treatment:as.factor(NapplicnQ)14,Corn,P,0.20804,
<none>55,Corn,K,NA,
CO2treatment:as.factor(NapplicnQ)15,Corn,K,0.7997,
<none>56,Corn,S,NA,
CO2treatment:as.factor(NapplicnQ)16,Corn,S,0.00653,
<none>57,Corn,B,NA,
CO2treatment:as.factor(NapplicnQ)17,Corn,B,0.81477,
<none>58,Corn,Ca,NA,
CO2treatment:as.factor(NapplicnQ)18,Corn,Ca,0.07341,
<none>59,Corn,Mg,NA,
CO2treatment:as.factor(NapplicnQ)19,Corn,Mg,0.50887,
<none>60,Corn,Mn,NA,
CO2treatment:as.factor(NapplicnQ)20,Corn,Mn,0.27814,
<none>61,Corn,Cu,NA,
CO2treatment:as.factor(NapplicnQ)21,Corn,Cu,0.00638,
