,Row,Study,Data_Type,Location,Method,Portion_of_plant,Year.of.study,Crop,Elevated_CO2_Target_ppm,Elevated_CO2_Achieved_ppm,Ambient_CO2_ppm,FACE_ring_diameter_m,code,Level1,Level2,Level3,WateringRegime,Pptn,Irrign,TotH2O,NapplicnQ,Napplicn,TOS,Cultivar,potsfield,nightFACE,Zn,Fe,N,P,K,S,B,Ca,Mg,Mn,Cu,Yield,CorrYield,protein,CO2treatment,LocYrCrL1L2L3WNTC,LocYrCrL1L2WNTC,LocYrCrL1WNTC,LocYrCrWNTC
1,514,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,1,1,2,24,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,38.1,86.9,6.42,0.595,2.01,3350,69.5,0.323,0.262,31,10.3,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 1 2 24 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
2,515,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,2,1,3,11,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,48.9,87.1,6.48,0.626,2.04,3230,48,0.324,0.251,31.9,13.4,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 1 3 11 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 1 3 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
3,516,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,3,2,4,20,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,48.7,82.7,6.46,0.597,2.02,3260,47,0.344,0.258,32.8,13.8,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 2 4 20 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
4,517,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,4,2,5,2,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,39.7,77.6,6.66,0.613,1.99,3010,49.5,0.325,0.242,25.3,11.5,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 2 5 2 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 2 5 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
5,518,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,5,3,13,25,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,41,78.6,6.14,0.569,2,2970,52.3,0.332,0.255,36.3,11.9,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 3 13 25 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
6,519,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,6,3,14,1,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,43.4,75.9,6.58,0.564,1.94,3090,46.1,0.341,0.243,37.3,12.1,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 3 14 1 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 3 14 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
7,520,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,7,4,15,7,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,42.9,77.2,6.65,0.594,1.96,3020,47.5,0.332,0.244,34.5,12.5,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 4 15 7 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 4 15 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
8,521,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,8,4,16,18,Dry,NA,0,NA,Low,0,26/05/1997,Clark,check,,43.5,74.4,6.57,0.572,1.9,3130,60.4,0.357,0.255,31.4,12,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 4 16 18 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Clark,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark
9,522,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,9,1,2,3,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,37.3,76.8,6.12,0.602,1.99,3100,43.9,0.338,0.262,32.2,10.9,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 1 2 3 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
10,523,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,10,1,3,19,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,42.8,78.2,6.06,0.577,2.02,3090,50.4,0.342,0.248,34.1,13.6,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 1 3 19 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 1 3 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
