Column1,V1,mRRYield,mRRFe,mRRprotein,mRRZn,mRRB,mRRCa,mRRCu,mRRK,mRRMg,mRRMn,mRRN,mRRP,mRRS,Location,Year,Crop,Watering,Fert,TOS,Cv
40,Horsham__Australia 2007 wheat Wet Medium TOS_1 Yitpi ,1.343558282,0.891908633,0.957137668,1.051265649,NA,NA,NA,NA,NA,NA,NA,NA,NA,Horsham__Australia,2007,wheat,Wet,Medium,TOS_1,Yitpi
41,Horsham__Australia 2007 wheat Wet Medium TOS_2 Yitpi ,1.637495511,0.964605793,0.96543612,0.848517232,NA,NA,NA,NA,NA,NA,NA,NA,NA,Horsham__Australia,2007,wheat,Wet,Medium,TOS_2,Yitpi
52,Horsham__Australia 2008 wheat Wet Medium TOS_1 Yitpi ,1.343319204,0.946950371,0.883293485,0.807686123,NA,NA,NA,NA,NA,NA,NA,NA,NA,Horsham__Australia,2008,wheat,Wet,Medium,TOS_1,Yitpi
53,Horsham__Australia 2008 wheat Wet Medium TOS_2 Yitpi ,1.161378003,1.036022647,0.940802727,0.901555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,Horsham__Australia,2008,wheat,Wet,Medium,TOS_2,Yitpi
88,Horsham__Australia 2009 wheat Wet Medium TOS_1 Yitpi ,1.189608644,0.86321325,0.906936048,0.910299736,NA,NA,NA,NA,NA,NA,NA,NA,NA,Horsham__Australia,2009,wheat,Wet,Medium,TOS_1,Yitpi
89,Horsham__Australia 2009 wheat Wet Medium TOS_2 Yitpi ,1.284983782,1.002585752,0.97087807,1.003648188,NA,NA,NA,NA,NA,NA,NA,NA,NA,Horsham__Australia,2009,wheat,Wet,Medium,TOS_2,Yitpi
101,Maricopa__Arizona 1998 Sorghum Wet Medium NA NA ,NA,1.071763917,NA,1.051155116,0.935672515,1.166666667,1.046831956,1.003174603,1.035120148,1.018579235,1.022715267,1.031152648,1.030136986,Maricopa__Arizona,1998,Sorghum,Wet,Medium,NA,NA
103,Maricopa__Arizona 1999 Sorghum Wet Medium NA NA ,NA,1.11497105,NA,1.021978022,1.14507772,1.368421053,1.007142857,1.123529412,1.061443932,1.115758755,1.068627451,1.058290155,1.052854123,Maricopa__Arizona,1999,Sorghum,Wet,Medium,NA,NA
104,Shizukuishi__Japan 2007 Rice Wet Medium NA Akitakomachi ,NA,0.957278481,NA,0.948938612,1.034090909,2.384615385,1.084210526,1.018404908,1.007317073,1.196226415,0.93765586,1.010894235,0.970689655,Shizukuishi__Japan,2007,Rice,Wet,Medium,NA,Akitakomachi
105,Shizukuishi__Japan 2008 Rice Wet Medium NA Akitakomachi ,NA,0.882154882,NA,0.930174564,0.975903614,1.058823529,1.01,1.006535948,0.988476312,1.198457223,0.911802853,0.987378641,0.913120567,Shizukuishi__Japan,2008,Rice,Wet,Medium,NA,Akitakomachi
106,Shizukuishi__Japan 2008 Rice Wet Medium NA Koshihikari ,NA,0.978540773,NA,0.979495268,1.057142857,2.833333333,1.068181818,1.040540541,1.044444444,1.170283806,0.952978056,1.025641026,0.970711297,Shizukuishi__Japan,2008,Rice,Wet,Medium,NA,Koshihikari
107,Shizukuishi__Japan 2008 Rice Wet Medium NA Takanari ,NA,0.953389831,NA,0.93370945,0.743243243,1,0.961538462,0.977777778,0.987309645,1.069111425,0.950904393,0.964959569,0.951367781,Shizukuishi__Japan,2008,Rice,Wet,Medium,NA,Takanari
108,Tsukubamirai__Japan 2010 Rice Wet High NA 86Y8 ,NA,1.039443155,NA,1.018567639,1.369230769,1.127272727,0.83974359,1.096153846,1.027896996,1.045931103,0.930501931,1.034618411,0.944020356,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,86Y8
109,Tsukubamirai__Japan 2010 Rice Wet High NA Bekoaoba ,NA,0.965432099,NA,0.949,1.097560976,0.166666667,0.84,1.006944444,0.990439771,0.801007557,0.895220588,1.0056899,0.883544304,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Bekoaoba
110,Tsukubamirai__Japan 2010 Rice Wet High NA Hoshiaoba ,NA,0.923404255,NA,0.96031746,1.095238095,1.130434783,0.78125,1.069767442,1.026737968,0.975363942,0.897391304,1.029978587,0.898584906,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Hoshiaoba
111,Tsukubamirai__Japan 2010 Rice Wet High NA IR72 ,NA,0.942105263,NA,1.014672686,1.133333333,0.942307692,1.014388489,0.956140351,0.953321364,0.858647937,0.907103825,0.948611111,0.897911833,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,IR72
112,Tsukubamirai__Japan 2010 Rice Wet High NA Kokuriku193 ,NA,1.030232558,NA,1.017010936,1.219178082,1.5,0.893129771,1.080645161,1.09469697,1.040716612,0.911522634,1.063328424,0.905405405,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Kokuriku193
113,Tsukubamirai__Japan 2010 Rice Wet High NA Koshihikari ,NA,0.957777778,NA,0.990134529,1.153846154,1.071428571,0.939849624,0.991150442,0.978417266,0.861426256,0.893700787,0.987121212,0.895604396,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Koshihikari
114,Tsukubamirai__Japan 2010 Rice Wet High NA Lemont ,NA,0.964835165,NA,0.972122302,0.961038961,0.393939394,0.838926174,0.984126984,0.972222222,0.891122278,0.923986486,0.968851395,0.921875,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Lemont
115,Tsukubamirai__Japan 2010 Rice Wet High NA Milyang23 ,NA,0.872210953,NA,1.047477745,1.037037037,1.264705882,0.814285714,1.047244094,1.017035775,1.010466223,0.899513776,1.021656051,0.921940928,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Milyang23
116,Tsukubamirai__Japan 2010 Rice Wet High NA Miriroman ,NA,0.727605119,NA,0.898095238,1.021276596,1.035087719,0.764150943,1.025210084,0.985106383,0.854558611,0.879837067,0.969538729,0.885057471,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Miriroman
117,Tsukubamirai__Japan 2010 Rice Wet High NA Nihonbare ,NA,1.010845987,NA,1.045589693,1.011764706,1.113636364,0.814814815,1.076923077,1.006382979,0.908180301,0.922787194,1.042844901,0.926208651,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Nihonbare
118,Tsukubamirai__Japan 2010 Rice Wet High NA Takanari ,NA,1.002457002,NA,0.967171717,1.112676056,1.020833333,0.888888889,1.075630252,1.068627451,0.933002481,0.910233393,1.056957462,0.901098901,Tsukubamirai__Japan,2010,Rice,Wet,High,NA,Takanari
