"","Crop","Nutrient","Pr.Chi."
"<none>","Corn","Znu",NA
"CO2treatment","Corn","Znu",0.02143
"as.factor(NapplicnQ)","Corn","Znu",0.00308
"<none>1","Corn","Feu",NA
"CO2treatment1","Corn","Feu",0.08088
"as.factor(NapplicnQ)1","Corn","Feu",4e-05
"<none>2","Corn","Nu",NA
"CO2treatment2","Corn","Nu",0.9895
"as.factor(NapplicnQ)2","Corn","Nu",0.00266
"<none>3","Corn","Pu",NA
"CO2treatment3","Corn","Pu",0.01253
"as.factor(NapplicnQ)3","Corn","Pu",0.00404
"<none>4","Corn","Ku",NA
"CO2treatment4","Corn","Ku",0.82567
"as.factor(NapplicnQ)4","Corn","Ku",0.00034
"<none>5","Corn","Su",NA
"CO2treatment5","Corn","Su",0.01314
"as.factor(NapplicnQ)5","Corn","Su",0.00055
"<none>6","Corn","Bu",NA
"CO2treatment6","Corn","Bu",0.00132
"as.factor(NapplicnQ)6","Corn","Bu",0.00155
"<none>7","Corn","Cau",NA
"CO2treatment7","Corn","Cau",0.47863
"as.factor(NapplicnQ)7","Corn","Cau",0.02743
"<none>8","Corn","Mgu",NA
"CO2treatment8","Corn","Mgu",0.00042
"as.factor(NapplicnQ)8","Corn","Mgu",0.00034
"<none>9","Corn","Mnu",NA
"CO2treatment9","Corn","Mnu",0.03539
"as.factor(NapplicnQ)9","Corn","Mnu",0.0024
"<none>10","Corn","Cuu",NA
"CO2treatment10","Corn","Cuu",0.40513
"as.factor(NapplicnQ)10","Corn","Cuu",0.00108
"<none>11","Corn","Znu",NA
"CO2treatment:as.factor(NapplicnQ)","Corn","Znu",0
"<none>12","Corn","Feu",NA
"CO2treatment:as.factor(NapplicnQ)1","Corn","Feu",0
"<none>13","Corn","Nu",NA
"CO2treatment:as.factor(NapplicnQ)2","Corn","Nu",0
"<none>14","Corn","Pu",NA
"CO2treatment:as.factor(NapplicnQ)3","Corn","Pu",0
"<none>15","Corn","Ku",NA
"CO2treatment:as.factor(NapplicnQ)4","Corn","Ku",0
"<none>16","Corn","Su",NA
"CO2treatment:as.factor(NapplicnQ)5","Corn","Su",0
"<none>17","Corn","Bu",NA
"CO2treatment:as.factor(NapplicnQ)6","Corn","Bu",0
"<none>18","Corn","Cau",NA
"CO2treatment:as.factor(NapplicnQ)7","Corn","Cau",0
"<none>19","Corn","Mgu",NA
"CO2treatment:as.factor(NapplicnQ)8","Corn","Mgu",0
"<none>20","Corn","Mnu",NA
"CO2treatment:as.factor(NapplicnQ)9","Corn","Mnu",0
"<none>21","Corn","Cuu",NA
"CO2treatment:as.factor(NapplicnQ)10","Corn","Cuu",0
