country,CO2expected_percent_dietary_protein-mean,CO2expected_percent_dietary_protein-Cil,CO2expected_perceont_dietary_protein-Ciu,CO2expectedproteinchange_percent_of_diet_willupdate-mean,CO2expectedproteinchange_percent_of_diet_willupdate-Cil,CO2expectedproteinchange_percent_of_diet_willupdate-Ciu,,,,
Tajikistan,-6.12,-9.01,-3.20,-0.68,-1.00,-0.35,,,2.89,-2.917929458
Guinea,-5.75,-10.88,-0.58,-0.51,-0.97,-0.05,,,5.14,-5.164076189
Democratic_People's_Republic_of_Korea,-5.70,-13.79,2.50,-0.66,-1.60,0.29,,,8.09,-8.193445582
Liberia,-5.53,-11.57,0.51,-0.39,-0.82,0.04,,,6.04,-6.041438099
Lao_People's_Democratic_Republic,-5.40,-8.39,-2.36,-0.63,-0.98,-0.28,,,2.99,-3.032083296
Occupied_Palestinian_Territory,-5.40,-7.94,-2.85,-0.62,-0.92,-0.33,,,2.55,-2.54804577
Egypt,-5.36,-8.85,-1.76,-0.66,-1.08,-0.22,,,3.49,-3.59656575
Morocco,-5.36,-8.18,-2.48,-0.62,-0.95,-0.29,,,2.82,-2.878666971
Algeria,-5.34,-7.95,-2.70,-0.63,-0.94,-0.32,,,2.61,-2.634933819
Uzbekistan,-5.33,-7.43,-3.22,-0.68,-0.94,-0.41,,,2.10,-2.106186162
Solomon_Islands,-5.29,-8.74,-1.83,-0.50,-0.83,-0.17,,,3.46,-3.456445751
Cote_d'Ivoire,-5.28,-11.67,1.18,-0.45,-1.00,0.10,,,6.39,-6.453205775
China,-5.23,-8.18,-2.27,-0.67,-1.06,-0.29,,,2.95,-2.962089077
Azerbaijan,-5.17,-7.28,-3.05,-0.64,-0.90,-0.38,,,2.10,-2.12001437
Nepal,-5.16,-9.53,-0.67,-0.55,-1.03,-0.07,,,4.38,-4.492962911
Turkey,-5.14,-7.96,-2.30,-0.63,-0.97,-0.28,,,2.82,-2.837641808
Tunisia,-5.12,-7.41,-2.82,-0.62,-0.90,-0.34,,,2.30,-2.297314638
Iran_(Islamic_Republic_of),-5.02,-7.53,-2.50,-0.60,-0.91,-0.30,,,2.51,-2.515904545
Congo,-4.90,-13.65,3.86,-0.41,-1.14,0.32,,,8.75,-8.763501067
Madagascar,-4.86,-10.79,1.14,-0.47,-1.05,0.11,,,5.94,-5.993215371
Libya,-4.85,-6.95,-2.74,-0.52,-0.75,-0.29,,,2.11,-2.107192034
Armenia,-4.80,-7.05,-2.54,-0.63,-0.93,-0.33,,,2.25,-2.257292052
Democratic_Republic_of_the_Congo,-4.79,-19.09,9.66,-0.29,-1.15,0.58,,,14.30,
Bangladesh,-4.77,-7.23,-2.30,-0.47,-0.71,-0.23,,,2.45,
Sao_Tome_and_Principe,-4.72,-9.70,0.31,-0.46,-0.95,0.03,,,4.98,
Mozambique,-4.64,-15.69,6.62,-0.36,-1.23,0.52,,,11.05,
Djibouti,-4.55660011,-7.32,-1.792116267,-0.468327698,-0.75,-0.184193843,,,2.76,
Benin,-4.522971607,-15.70,6.782444781,-0.469441526,-1.63,0.703953398,,,11.17,
Georgia,-4.500542514,-6.38,-2.577635649,-0.512525326,-0.73,-0.293543177,,,1.88,
Kyrgyzstan,-4.48221556,-8.10,-0.827914154,-0.589023508,-1.06,-0.108799073,,,,
Republic_of_Moldova,-4.442185101,-6.62,-2.247723137,-0.47913077,-0.71,-0.24243774,,,,
Syrian_Arab_Republic,-4.434626221,-6.48,-2.377481159,-0.492302878,-0.72,-0.263932237,,,,
Turkmenistan,-4.405294101,-5.83,-2.983190661,-0.601097635,-0.80,-0.407053152,,,,
India,-4.390291288,-8.02,-0.744236865,-0.45501274,-0.83,-0.077133209,,,,
Republic_of_Korea,-4.34072182,-6.77,-1.90982009,-0.498674331,-0.78,-0.219405503,,,,
Indonesia,-4.338852189,-7.62,-0.976452951,-0.406295957,-0.71,-0.091436368,,,,
Bosnia_and_Herzegovina,-4.309162796,-9.01,0.518984862,-0.524363352,-1.10,0.063153019,,,,
Yemen,-4.303763347,-7.17,-1.395185662,-0.490014781,-0.82,-0.158852042,,,,
Haiti,-4.302480768,-11.09,2.572359781,-0.409322671,-1.05,0.244725133,,,,
Cambodia,-4.258994724,-7.27,-1.210823336,-0.47037575,-0.80,-0.133726847,,,,
Angola,-4.192484903,-14.30,6.048135334,-0.394242808,-1.34,0.568739999,,,,
Ghana,-4.180106465,-12.46,4.165751055,-0.360879675,-1.08,0.359640335,,,,
Jordan,-4.16358293,-5.93,-2.395423904,-0.458280832,-0.65,-0.263661581,,,,
Guinea-Bissau,-4.137879372,-7.94,-0.295334178,-0.317485313,-0.61,-0.02265998,,,,
The_former_Yugoslav_Republic_of_Macedonia,-4.10470271,-8.02,-0.145906977,-0.448956197,-0.88,-0.01595873,,,,
Vanuatu,-4.079779354,-6.60,-1.558916221,-0.407080413,-0.66,-0.155548671,,,,
Cuba,-4.055748485,-10.62,2.56458836,-0.446530688,-1.17,0.282356613,,,,
Sri_Lanka,-4.036533374,-6.62,-1.447101065,-0.412970974,-0.68,-0.148050488,,,,
Ukraine,-4.013845211,-6.43,-1.585602765,-0.464077319,-0.74,-0.183326023,,,,
Viet_Nam,-4.005131501,-6.29,-1.694309099,-0.461930129,-0.73,-0.195412416,,,,
Philippines,-3.929477857,-6.19,-1.658747196,-0.38708403,-0.61,-0.163399457,,,,
Togo,-3.909400399,-15.13,7.514556597,-0.388830651,-1.50,0.747401043,,,,
Ethiopia,-3.905077682,-9.27,1.569010069,-0.4859466,-1.15,0.195247104,,,,
Lesotho,-3.89026133,-11.09,3.660858482,-0.470695369,-1.34,0.442939172,,,,
Burundi,-3.888439345,-21.02,13.32116293,-0.443025119,-2.39,1.517732247,,,,
Timor-Leste,-3.881049721,-10.06,2.488243054,-0.441759176,-1.14,0.283223427,,,,
Swaziland,-3.87380915,-7.78,0.2398826,-0.41872966,-0.84,0.025929506,,,,
Peru,-3.864489645,-7.67,-0.015013192,-0.45177437,-0.90,-0.001755103,,,,
Kazakhstan,-3.860236673,-5.67,-2.047469428,-0.515560233,-0.76,-0.273453134,,,,
Malawi,-3.829691528,-12.57,5.252663057,-0.433235919,-1.42,0.594210341,,,,
Saudi_Arabia,-3.81742565,-5.82,-1.770557127,-0.446741807,-0.68,-0.207202959,,,,
Zambia,-3.786204199,-11.62,4.412326921,-0.40421105,-1.24,0.471055232,,,,
Cameroon,-3.780815235,-13.49,6.014379802,-0.406126032,-1.45,0.646050138,,,,
Rwanda,-3.780328196,-18.82,11.30429573,-0.40533135,-2.02,1.212060228,,,,
Lebanon,-3.743615485,-6.18,-1.30501149,-0.4319465,-0.71,-0.150575065,,,,
Sierra_Leone,-3.723032077,-7.91,0.47903801,-0.365199828,-0.78,0.046989818,,,,
Belarus,-3.720214492,-6.02,-1.414735629,-0.443658348,-0.72,-0.168715883,,,,
United_Republic_of_Tanzania,-3.709210698,-14.65,7.391235012,-0.402033658,-1.59,0.801120641,,,,
Albania,-3.707252267,-6.12,-1.286623583,-0.51831933,-0.86,-0.179885755,,,,
Thailand,-3.678751945,-5.22,-2.137821079,-0.335965685,-0.48,-0.195238639,,,,
Suriname,-3.674880712,-5.51,-1.832688832,-0.334676636,-0.50,-0.16690559,,,,
Romania,-3.672166523,-6.22,-1.081088167,-0.499486258,-0.85,-0.147049073,,,,
Poland,-3.658160306,-5.56,-1.758485111,-0.459723551,-0.70,-0.220990047,,,,
Guatemala,-3.615285201,-10.07,3.078565717,-0.416990282,-1.16,0.355084569,,,,
Pakistan,-3.575711829,-5.51,-1.623871276,-0.390738382,-0.60,-0.177449656,,,,
Comoros,-3.574072748,-7.82,0.692849597,-0.344415963,-0.75,0.066766537,,,,
Slovakia,-3.55048318,-5.32,-1.783419351,-0.381297985,-0.57,-0.191527229,,,,
Myanmar,-3.548756152,-6.75,-0.345100617,-0.492455752,-0.94,-0.047889113,,,,
Bolivia_(Plurinational_State_of),-3.494144124,-6.32,-0.59691479,-0.413642637,-0.75,-0.070663773,,,,
Greece,-3.480445173,-5.51,-1.446173134,-0.455352698,-0.72,-0.189205347,,,,
Kenya,-3.468946574,-11.38,4.654339337,-0.410859578,-1.35,0.551256658,,,,
Hungary,-3.456462256,-5.37,-1.544387944,-0.365031044,-0.57,-0.163100159,,,,
Nicaragua,-3.454668123,-13.07,6.339057054,-0.386745773,-1.46,0.709649504,,,,
Russian_Federation,-3.447827285,-5.24,-1.657805762,-0.456413202,-0.69,-0.219455435,,,,
Latvia,-3.446286489,-5.17,-1.722397002,-0.421412572,-0.63,-0.210615035,,,,
Malta,-3.44327098,-5.53,-1.353546013,-0.466939794,-0.75,-0.183553517,,,,
Kiribati,-3.401117659,-4.92,-1.87766477,-0.373725394,-0.54,-0.206323649,,,,
Fiji,-3.391565139,-5.60,-1.180793761,-0.351693758,-0.58,-0.122444293,,,,
Senegal,-3.384156072,-6.85,0.155762465,-0.358551268,-0.73,0.01650303,,,,
Jamaica,-3.370056187,-5.48,-1.252942015,-0.389321329,-0.63,-0.144744486,,,,
Bulgaria,-3.368542352,-5.33,-1.367597126,-0.398558545,-0.63,-0.161811093,,,,
Guyana,-3.363788611,-5.42,-1.298423404,-0.388172295,-0.63,-0.149834621,,,,
Uruguay,-3.360061534,-5.31,-1.376788555,-0.398708156,-0.63,-0.163371064,,,,
Chile,-3.334722304,-5.54,-1.083693654,-0.431317891,-0.72,-0.140166532,,,,
