max percent,AFG,ALB,DZA,AGO,ARG,ARM,AZE,BGD,BLR,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BGR,BFA,BDI,KHM,CMR,CPV,CAF,TCD,CHL,CHN,CHNr,CHNu,COL,COLu,COM,ZAR,COG,CRI,CIV,HRV,CZE,DJI,DOM,ECU,ECUu,EGY,SLV,EST,ETH,FJI,GAB,GMB,GEO,GHA,GTM,GIN,GNB,GUY,HTI,HND,HNDu,HUN,IND,INDr,INDu,IDN,IDNr,IDNu,IRN,IRQ,JAM,JOR,KAZ,KEN,KGZ,LAO,LVA,LSO,LBR,LTU,MKD,MDG,MWI,MYS,MDV,MLI,Marshall_IS,MRT,MEX,FSM,MICronesia,MDA,MNG,MNE,MAR,MOZ,NAM,NPL,NIC,Nicaragua,NER,NGA,PAK,PAN,PNG,PRY,PER,PHL,POL,ROM,RUS,RWA,SEN,SRB,SYC,SLE,SVK,SVN,ZAF,LKA,LCA,SDN,SUR,SWZ,SYR,STP,TJK,TZA,THA,TMP,TGO,TTO,TUN,TUR,TKM,UGA,UKR,URY,URYurban,UZB,VEN,VNM,WBG,YEM,ZMB
10,4.08,3.53,2.87,2.18,1.46,3.85,3.43,3.99,3.92,0.94,3,2.86,0.45,2.71,1.28,0.77,3.28,2.87,4.14,3.53,2.91,1.88,1.22,2.61,1.53,1.69,2.71,3.01,0.87,1.34,0.91,2.29,2.08,1.23,3.33,4.32,2.23,2.42,1.81,1.35,0.9,3.96,1.03,2.71,3.2,2.64,2.58,1.95,1.87,2.03,1.06,3.05,2.66,1.33,0.66,0.43,1.23,3.54,3.69,4.07,3.02,3.36,3.68,2.77,2.62,3.79,2.25,3.36,4,1.96,3.21,3.34,2.81,0.99,2.35,2.63,2.23,2.2,2.33,1.78,2.71,3.47,0.21,2.43,1.99,1.41,0.41,3.3,3.04,3.63,2.66,1.94,1.39,3.63,2.61,1.31,3.55,2.35,4.36,1.1,1.9,0.98,1.39,2.59,3.3,3.61,2.75,2.13,2.48,3.46,1.64,3.42,4.36,3.38,1.17,3.39,2.01,2.74,1.11,1.66,3.36,2.21,3.53,2.82,2.8,4.01,2.43,2.07,2.61,2.08,2.57,2.35,4.35,1.91,1.67,2.85,1.2,3.18,3.19,2.91,1.49
20,5.32,4.61,4.1,3.22,2.92,4.97,4.56,4.89,5.47,2.33,3.99,3.89,1.68,3.94,1.85,2.08,5.22,3.85,4.82,4.4,3.82,2.66,2.15,3.65,2.73,2.98,3.65,4.23,2.13,2.27,1.64,3.18,2.88,2.62,4.72,5.9,3.37,3.61,2.86,2.94,2.68,5.28,2.68,4.09,4.76,3.56,3.58,2.84,3.16,3.21,2.02,4.23,3.69,3.14,1.72,1.59,2,4.86,4.85,5.35,3.93,4.27,4.55,3.57,3.81,4.91,3.1,4.35,5.12,2.88,4.47,4.3,4.17,1.98,4.09,3.99,3.18,3.21,3.31,2.76,3.8,4.5,0.86,3.59,2.94,2.95,1.18,4.5,4.06,5.12,3.86,3.29,1.76,4.64,3.61,2.51,4.54,3.54,5.24,2.2,2.62,2.28,2.52,3.39,4.55,5.23,3.71,3.03,3.57,4.9,2.07,4.39,5.76,4.84,1.53,4.33,3.22,4.07,2.07,2.39,4.32,3.02,4.76,3.98,3.96,4.94,3.56,3.44,4.13,3.45,3.57,3.49,5.58,3.01,2.82,4.29,3.08,4.24,4.25,4.27,2.09
30,6.34,5.57,5.22,4.27,4.03,5.94,5.55,5.76,6.5,3.55,4.94,4.87,2.89,5.09,2.52,3.07,6.36,4.81,5.54,5.25,4.75,3.49,2.98,4.67,3.56,4.23,4.57,5.3,2.93,3.26,2.3,4.1,3.74,3.54,5.65,6.78,4.48,4.71,3.81,3.51,3.64,6.12,3.87,5.26,5.74,4.46,4.56,3.77,4.37,4.35,2.94,5.3,4.71,4.32,2.67,2.53,2.85,5.93,5.67,6.19,4.83,5.19,5.41,4.41,4.91,5.9,4.01,5.31,6.1,3.84,5.57,5.21,5.36,3.03,5.17,5.03,4.15,4.22,4.26,3.77,4.89,5.5,1.56,4.68,3.89,3.95,2.07,5.58,5.06,6.17,4.76,4.26,2.22,5.61,4.59,3.32,5.46,4.67,6.07,3.32,3.42,3.32,3.58,4.24,5.65,6.33,4.68,3.75,4.62,6.08,2.55,5.31,6.65,5.88,2,5.24,4.36,5.25,3.06,3.22,5.24,3.83,5.86,5.03,4.82,5.8,4.65,4.57,5.22,4.69,4.56,4.36,6.61,3.97,3.86,5.28,4.15,5.26,5.27,5.2,2.78
40,7.27,6.48,6.33,5.36,5.28,6.85,6.54,6.61,7.45,5.04,5.9,5.88,3.91,6.22,3.29,4.06,7.38,5.77,6.32,6.14,5.74,4.42,3.89,5.73,4.38,5.51,5.54,6.33,3.9,4.33,3.05,5.1,4.7,4.46,6.56,7.55,5.59,5.8,4.78,4.72,4.71,6.9,4.96,6.38,6.65,5.41,5.56,4.79,5.57,5.49,3.91,6.34,5.75,5.46,3.58,3.59,3.81,6.93,6.47,6.97,5.78,6.14,6.31,5.32,6,6.85,4.98,6.26,7.05,4.84,6.62,6.12,6.49,4.18,6.18,6.09,5.18,5.26,5.27,4.88,5.99,6.49,2.32,5.76,4.9,4.93,3.09,6.61,6.09,7.19,5.69,5.21,2.81,6.55,5.62,4.32,6.37,5.79,6.87,4.43,4.32,4.44,4.76,5.18,6.69,7.37,5.67,4.53,5.69,7.14,3.11,6.25,7.46,6.87,2.63,6.15,5.51,6.4,4.17,4.15,6.19,4.67,6.89,6.08,5.68,6.66,5.79,5.76,6.32,5.87,5.59,5.28,7.52,5.02,4.99,6.24,5.37,6.26,6.27,6.11,3.58
50,8.2,7.42,7.48,6.56,6.53,7.76,7.53,7.52,8.44,4.47,6.93,6.96,5.24,7.4,4.22,5.27,8.42,6.8,7.2,7.09,6.83,5.48,4.93,6.86,5.3,6.88,6.59,7.39,4.94,5.56,3.92,6.23,5.83,5.54,7.54,8.34,6.78,6.96,5.83,5.86,6.31,7.72,6.16,7.49,7.6,6.44,6.65,5.94,6.84,6.69,5.03,7.4,6.9,6.67,4.57,4.88,4.97,7.91,7.34,7.8,6.79,7.18,7.29,6.38,7.13,7.81,6.09,7.27,8.01,5.95,7.68,7.1,7.63,5.48,7.24,7.22,6.32,6.39,6.37,6.12,7.18,7.56,3.19,6.89,6.01,6.03,4.32,7.67,7.18,8.23,6.69,6.26,3.59,7.55,6.75,5.43,7.35,7,7.71,5.58,5.38,5.7,6.05,6.28,7.74,8.44,6.76,5.42,6.85,8.17,3.76,7.25,8.31,7.92,3.47,7.12,6.72,7.56,5.41,5.29,7.19,5.59,7.94,7.17,6.69,7.56,7,7.04,7.47,7.11,6.72,6.29,8.42,6.16,6.26,7.26,6.59,7.31,7.32,7.08,4.56
60,9.17,8.43,8.75,7.96,8.25,8.75,8.63,8.55,9.5,6.77,8.1,8.17,6.67,8.72,5.42,7.14,9.52,7.99,8.23,8.19,8.11,6.79,6.19,8.17,6.44,8.43,7.79,8.55,6.29,7.02,5.02,7.56,7.18,6.87,8.62,9.19,8.12,8.25,7.32,7.12,6.5,8.65,7.54,8.71,8.65,7.63,7.89,7.3,8.26,8.04,6.32,8.59,8.2,8.02,5.79,6.54,6.39,8.95,8.35,8.74,7.98,8.39,8.43,7.62,8.41,8.88,7.4,8.4,9.06,7.25,8.83,8.19,8.85,7.04,8.42,8.51,7.65,7.7,7.64,7.6,8.53,8.77,4.21,8.16,7.32,7.28,5.88,8.85,8.44,9.38,7.85,7.48,4.65,8.67,8.04,6.86,8.42,8.34,8.65,6.93,6.68,7.07,7.58,7.59,8.88,9.58,8.01,6.49,8.17,9.28,4.56,8.38,9.23,9.08,4.69,8.21,8.09,8.84,6.9,6.71,8.34,6.64,9.07,8.39,7.93,8.56,8.39,8.49,8.76,8.46,8.01,7.47,9.37,7.58,7.73,8.41,8.01,8.5,8.51,8.19,5.8
70,10.32,9.65,10.29,9.69,10.22,9.93,9.95,9.79,10.71,8.47,9.53,9.67,8.54,10.3,7.01,7.86,10.77,9.43,9.56,9.54,9.71,8.47,7.84,9.77,8.01,10.31,9.31,9.94,8.05,8.88,6.48,9.26,8.94,8.54,9.94,10.19,9.77,9.82,9.2,8.83,8.94,9.76,9.16,10.13,9.93,9.1,9.43,9.05,9.99,9.69,8.05,9.99,9.82,9.67,7.55,8.64,8.28,10.18,9.57,9.85,9.43,9.88,9.84,9.23,9.93,10.14,9.08,9.78,10.3,8.89,10.2,9.54,10.32,9.04,9.85,10.04,9.33,9.31,9.23,9.49,10.2,10.22,5.49,9.7,8.95,8.99,7.97,10.24,9.99,10.69,9.31,8.99,6.2,10.03,9.65,8.43,9.73,9.99,9.79,8.76,8.41,8.69,9.46,9.29,10.24,10.87,9.56,7.89,9.77,10.55,5.61,9.75,10.3,10.43,6.55,9.56,9.74,10.36,8.81,8.58,9.74,7.95,10.41,9.85,9.58,9.77,10.08,10.23,10.29,10.09,9.63,8.97,10.49,9.41,9.5,9.8,9.8,9.94,9.94,9.55,7.49
80,11.82,11.29,12.34,12.12,11.95,11.48,11.73,11.48,12.21,10.91,11.5,11.72,11.31,12.44,9.41,11.18,12.31,11.44,11.44,11.41,11.96,10.91,10.2,11.98,10.35,12.88,11.41,11.8,10.74,11.56,8.66,11.68,11.51,11.33,11.68,11.49,12.03,11.96,11.61,11.88,10.33,11.27,11.51,12.05,11.62,11.17,11.57,11.52,12.33,11.95,10.41,11.89,12.06,11.89,10.09,11.87,11.07,11.8,11.25,11.36,11.46,11.94,11.8,11.51,12.03,11.84,11.48,11.68,11.95,11.19,12.03,11.36,12.25,11.91,11.75,12.09,11.68,11.57,11.43,12.15,12.46,12.19,7.25,11.81,11.25,11.42,11.1,12.1,12.1,12.33,11.3,11.11,8.76,11.86,11.89,10.8,11.52,12.23,11.33,11.3,10.92,11.09,12.07,11.75,12.05,12.45,11.73,9.92,11.99,12.21,7.07,11.65,11.7,12.17,9.75,11.41,12.01,12.37,11.54,11.39,11.69,9.74,12.17,11.85,11.87,11.43,12.4,12.51,12.28,12.26,11.88,11.06,11.92,12.04,12.13,11.68,12.38,11.9,11.89,11.4,10.05
90,14.27,14.03,15.73,16.27,17.06,14.1,14.71,14.38,14.37,15.32,14.87,15.23,16.03,15.93,13.81,15.64,14.57,14.88,14.71,14.64,15.81,15.26,14.47,15.77,14.93,17.11,15.04,14.92,15.72,16.29,12.83,15.91,16.09,16.37,14.48,13.55,15.88,15.56,16.37,15.47,15.92,13.76,16.09,15.21,14.34,14.72,15.23,15.9,16.27,15.8,15.34,15.08,15.87,15.53,15.7,17.53,16.14,14.46,14.02,13.8,14.98,15.47,15.14,15.57,15.53,14.64,15.71,14.89,14.66,15.21,15.03,14.51,15.44,16.95,14.85,15.3,15.8,15.46,15.26,16.8,16.21,15.47,10,15.36,15.24,15.81,16.86,15.18,15.66,14.7,14.66,14.73,13.87,14.94,15.73,15.13,14.55,16,13.93,16.3,15.49,15.32,16.48,16.07,15.02,14.68,15.45,13.62,15.76,14.88,9.47,14.86,13.82,14.79,16.52,14.56,15.86,15.69,16.37,16.49,15,12.74,15.06,15.22,15.68,14.24,16.29,16,15.33,15.89,15.75,14.63,14.24,16.54,16.72,14.72,16.25,15.2,15.18,14.47,14.77
100,23.21,28.99,26.89,32.37,32.3,26.37,27.37,27.03,21.43,42.2,31.24,30.75,43.28,27.25,51.19,42.93,22.17,32.16,28.04,29.81,30.36,40.64,46.13,30.79,42.77,29.98,33.39,28.53,44.43,39.49,55.19,34.69,37.05,39.5,27.48,22.69,31.75,30.91,36.41,38.32,40.07,26.58,37,27.97,27.51,34.87,32.95,36.94,31.34,32.75,44.92,28.13,30.34,33.97,47.67,42.4,43.26,25.44,28.79,25.87,31.8,28.18,27.55,33.62,29.63,25.24,35.9,28.7,23.75,37.99,26.36,30.33,26.68,39.4,30.1,29.1,34.48,34.68,34.9,34.65,28.03,25.83,64.91,31.62,37.51,37.23,47.12,25.97,28.38,22.56,33.22,36.73,54.75,26.52,31.51,41.89,28.51,30.09,26.05,40.08,40.86,41.11,36.11,33.62,25.88,21.44,31.68,43.22,31.1,23.33,60.16,28.74,22.41,24.64,51.69,30.03,32.48,26.72,40.56,40.12,28.93,43.61,24.31,29.61,30.99,27.03,29.41,29.89,27.59,30.1,31.72,36.1,21.5,34.36,34.32,29.47,33.17,28.21,28.18,30.82,47.39
