Study,Location,Year,Crop,Cultivar,WateringRegime,Pptn,Irrign,TotH2O,CO2treatment,NapplicnQ,Napplicn,Phos_App,Temperature_treatment,TOS,CO2_indicator,Pair_Count,Pair-CO2_ID,24hCO2,Yield,Zn,Fe,Ph,N,P,K,S,B,Ca,Mg,Mn,Cu
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Dry,133,48,181,aCO2,Low,0,0,,TOS1,0,1,10,No,259.984639,28.11,33.8775,1.869791667,14.240215,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Dry,133,48,181,eCO2,Low,0,0,,TOS1,1,1,11,No,272.2734255,31.275,30.68,1.958466667,13.8562975,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,133,48,181,aCO2,Low,0,0,,TOS1,0,2,20,No,253.4562212,31.6275,34.49,1.851525,13.95709,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,133,48,181,eCO2,Low,0,0,,TOS1,1,2,21,No,308.1797235,31.2425,31.35,1.749791667,13.296465,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Dry,79,48,127,aCO2,Low,0,0,,TOS2,0,3,30,No,195.359063,29.6325,37.235,2.045133333,13.50541125,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Dry,79,48,127,eCO2,Low,0,0,,TOS2,1,3,31,No,198.0568356,32.08,36.44,2.500933333,13.11167875,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,79,48,127,aCO2,Low,0,0,,TOS2,0,4,40,No,203.0107527,33.49,41.155,1.936891667,14.05127625,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,79,48,127,eCO2,Low,0,0,,TOS2,1,4,41,No,220.5030722,32.27,37.51,2.3253,13.38329,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,133,48,181,aCO2,Medium,50,0,,TOS1,0,5,50,No,266.7050691,34.5725,32.335,1.847641667,14.30344625,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,133,48,181,eCO2,Medium,50,0,,TOS1,1,5,51,No,332.7572965,26.6625,31.97,1.475191667,13.978515,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,79,48,127,aCO2,Medium,50,0,,TOS2,0,6,60,No,207.2638249,31.4175,39.785,1.510058333,13.8948025,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Dry,79,48,127,eCO2,Medium,50,0,,TOS2,1,6,61,No,208.6866359,32.975,38.7225,2.22215,13.84988,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Wet,133,96,229,aCO2,Low,0,0,,TOS1,0,7,70,No,343.8940092,27.79,29.595,1.873175,13.2205875,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Janz,Wet,133,96,229,eCO2,Low,0,0,,TOS1,1,7,71,No,428.7634409,27.9825,27.6075,2.10335,12.600355,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Wet,133,96,229,aCO2,Low,0,0,,TOS1,0,8,80,No,352.5345622,28.9,31.895,2.00465,13.22568375,,,,,,,,
