plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,plants_per_rep,SE,SD,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,exclude
1,1,C3_cereal,wheat,350,550,FACE,1,field,0.724637681,4,30,4.908962486,9.817924973,138,139,,,NA,high,,NA,1-1996550NANAambienthigh,Porteaus_et_al._2009,,1996,
1,1,C3_cereal,wheat,350,550,FACE,1,field,-26.72413793,4,30,4.921513124,9.843026248,116,85,,,NA,low,,NA,1-1996550NANAambientlow,Porteaus_et_al._2009,,1996,
21,133,fruit,strawberry,360,720,GC,0,pots,0.292397661,1,4,27.5216369,55.0432738,13.68,13.72,3.65,0.88,NA,high,,NA,133-China720NANAambienthigh,sun_et_al_2012_strawberry,China,,
21,133,fruit,strawberry,360,720,GC,0,pots,-21.52406417,1,4,23.8366256,47.6732512,14.96,11.74,2.59,2.93,NA,low,,NA,133-China720NANAambientlow,sun_et_al_2012_strawberry,China,,
1,1,C3_cereal,wheat,350,550,GH,0,pots,1.226993865,1,12,0.059235513,0.205197836,16.3,16.5,,,NA,high,,NA,1-550NANAambienthigh,Rogers_et_al._1996,,,
1,1,C3_cereal,wheat,350,550,GH,0,pots,-0.613496933,1,12,0.059237154,0.205203522,16.3,16.2,,,NA,low,,NA,1-550NANAambientlow,Rogers_et_al._1996,,,
1,1,C3_cereal,wheat,350,550,GH,0,pots,-2.352941176,1,12,0.054452035,0.188627381,17,16.6,,,NA,medium,,NA,1-550NANAambientmedium,Rogers_et_al._1996,,,
1,1,C3_cereal,wheat,350,550,GH,0,pots,1.734104046,1,12,0.052583466,0.18215447,17.3,17.6,,,NA,medium_high,,NA,1-550NANAambientmedium_high,Rogers_et_al._1996,,,
1,1,C3_cereal,wheat,350,550,GH,0,pots,-4.117647059,1,12,0.054435688,0.188570755,17,16.3,,,NA,very_high,,NA,1-550NANAambientvery_high,Rogers_et_al._1996,,,
1,1,C3_cereal,wheat,350,550,GH,0,pots,-12.90322581,1,12,0.065198796,0.225855254,15.5,13.5,,,NA,very_low,,NA,1-550NANAambientvery_low,Rogers_et_al._1996,,,
1,1,C3_cereal,wheat,315,695,GC,0,pots,-6.781346326,3,21,3.353016113,5.807594267,100,93.21865367,,,NA,low,,NA,1-695NANAambientlow,Wolf_1996,,,no_SE
1,1,C3_cereal,wheat,315,695,GC,0,pots,-17.04666667,3,21,7.921344949,13.72017192,100,82.95333333,,,NA,medium,,NA,1-695NANAambientmedium,Wolf_1996,,,no_SE
1,1,C3_cereal,wheat,315,695,GC,0,pots,-25.99589322,3,21,11.33096788,19.62581207,100,74.00410678,,,NA,very_low,,NA,1-695NANAambientvery_low,Wolf_1996,,,no_SE
9,17,root_vegetable,cassava,360,546,GH,0,pots,38.58784893,1,3,43.09743141,74.64694088,0.609,0.844,0.062,0.248,NA,high,,NA,17-546NANAambienthigh,Gleadow_et_al._2009,,,
9,17,root_vegetable,cassava,360,546,GH,0,pots,-13.82716049,1,3,15.38301244,26.64415911,0.405,0.349,0.05,0.045,NA,low,,NA,17-546NANAambientlow,Gleadow_et_al._2009,,,
9,17,root_vegetable,cassava,360,709,GH,0,pots,5.418719212,1,3,11.08937166,19.20735514,0.609,0.642,0.062,0.017,NA,high,,NA,17-709NANAambienthigh,Gleadow_et_al._2009,,,
9,17,root_vegetable,cassava,360,709,GH,0,pots,-16.54320988,1,3,11.76474926,20.37714345,0.405,0.338,0.05,0.023,NA,low,,NA,17-709NANAambientlow,Gleadow_et_al._2009,,,
10,18,root_vegetable,potato,382.5555556,670,OTC,1,field,-14.16666667,27,58.84595739,4.409653713,22.91323282,12,10.3,may_need_these_now_that_the_CHIP_dataset_is_less_useful,,NA,NA,,NA,"18-CHIP_5_sites_around_europe1998,_1999670NANAambientNA",Fangmeier_et_al._2002_,CHIP_5_sites_around_europe,"1998,_1999",
10,18,root_vegetable,potato,367.2,554.3,OTC,0.5,both,-6.2,4,123456,2.979831471,5.959662942,1,0.938,may_need_these_now_that_the_CHIP_dataset_is_less_useful,,NA,NA,,NA,"18-Giessen,_Germany1998,_1999554.3NANAambientNA",Hogy_&_Fangmeier_2009,"Giessen,_Germany","1998,_1999","1998_is_pot,_1999_is_field_grown"
10,18,root_vegetable,potato,367.2,671.6,OTC,0.5,both,-9.7,4,123456,4.57058346,9.14116692,1,0.903,may_need_these_now_that_the_CHIP_dataset_is_less_useful,,NA,NA,,NA,"18-Giessen,_Germany1998,_1999671.6NANAambientNA",Hogy_&_Fangmeier_2009,"Giessen,_Germany","1998,_1999","1998_is_pot,_1999_is_field_grown"
10,18,root_vegetable,potato,366,644,OTC,1,field,5.319148936,6,15,21.01473674,51.47538209,9.4,9.9,1.1,1.6,NA,medium,,NA,"18-Göteborg,_Sweden1998644NANAambientmedium",Piikki_et_al_2007,"Göteborg,_Sweden",1998,
10,18,root_vegetable,potato,355,680,OTC,1,field,-0.833333333,3,58.84595739,9.377266388,16.24190182,1.2,1.19,,,NA,medium,,NA,"18-Sutton_Bonnington,_UK1998680NANAambientmedium",Donnelly_et_al._2001,"Sutton_Bonnington,_UK",1998,
10,18,root_vegetable,potato,355,680,OTC,1,field,-14.59259259,3,58.84595739,6.073718945,10.5199898,1.35,1.153,,,NA,medium,,NA,"18-Sutton_Bonnington,_UK1999680NANAambientmedium",Donnelly_et_al._2001,"Sutton_Bonnington,_UK",1999,
1,1,C3_cereal,wheat,340,800,GC,0,pots,-10.11185682,1,6,4.302179069,10.5381435,4.47,4.018,0.149,0.138,dry,medium,,alcedo,1-Berlin800dryalcedoambientmedium,Mueller_et_al._1993,Berlin,,
