"","pred","se","ci.lb","ci.ub","cr.lb","cr.ub","slab","digits","method"
"predict.mr.d.metaplants1",-7.03519319801596,0.733475714484357,-8.47277918194008,-5.59760721409184,-18.2003731146946,4.12998671866266,1,4,REML
"predict.mr.d.metaplants2",-6.65379913595169,0.803630109435952,-8.22888520733813,-5.07871306456524,-12.3420714295846,-0.965526842318764,1,4,REML
"predict.mr.d.metaplants3",-12.9283436098998,2.41978376347949,-17.6710326366944,-8.18565458310524,-22.4515471422461,-3.40514007755357,1,4,REML
"predict.mr.d.metaplants4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants7",2.04612077590582,4.24606643893195,-6.27601652036505,10.3682580721767,-14.1473539176296,18.2395954694413,1,4,REML
"predict.mr.d.metaplants8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants9",-8.0466802874687,26.2997472545824,-59.5932377089563,43.4998771340189,-59.5932377089563,43.4998771340189,1,4,REML
"predict.mr.d.metaplants10",-9.19620350433115,6.50152580048156,-21.938959917833,3.54655290917066,-21.938959917833,3.54655290917066,1,4,REML
"predict.mr.d.metaplants11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants12",-4.18416396840823,16.6317546048629,-36.7818039936477,28.4134760568313,-37.5080582632423,29.1397303264259,1,4,REML
"predict.mr.d.metaplants13",8.42026897319889,4.2121278426382,0.164650103349613,16.6758878430482,-0.680760187323052,17.5212981337208,1,4,REML
"predict.mr.d.metaplants14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants15",-1.12067393021924,0.456195595692249,-2.01480086768185,-0.226546992756641,-6.51609646522031,4.27474860478182,1,4,REML
"predict.mr.d.metaplants16",1.7737395406419,1.91805452113318,-1.98557824116334,5.53305732244715,-1.98557824116334,5.53305732244715,1,4,REML
"predict.mr.d.metaplants17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants18",-7.45657309594158,5.87424331939948,-18.9698784383896,4.05673224650642,-28.9905427364961,14.0773965446129,1,4,REML
"predict.mr.d.metaplants19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants20",-18.9602482523862,7.24936253386719,-33.1687377296399,-4.75175877513246,-46.1859176014691,8.26542109669673,1,4,REML
"predict.mr.d.metaplants21",NA,NA,NA,NA,NA,NA,NA,NA,NA
