,pred,ci.lb,ci.ub,cr.lb,cr.ub,slab,digits,method,se
predict.mr.d.metaplants1,-7.235612022,-8.582192278,-5.889031766,-21.68334741,7.212123363,1,4,REML,0.687043368
predict.mr.d.metaplants2,-5.549426946,-7.818899466,-3.279954427,-18.43042468,7.331570789,1,4,REML,1.15791542
predict.mr.d.metaplants3,-13.66532158,-17.22823159,-10.10241156,-24.26646306,-3.064180096,1,4,REML,1.817844636
,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
predict.mr.d.metaplants7,1.186561124,-6.741333982,9.11445623,-15.60639032,17.97951257,1,4,REML,4.044918768
,NA,NA,NA,NA,NA,NA,NA,NA,NA
predict.mr.d.metaplants9,13.18142592,-24.03221582,50.39506766,-49.95339911,76.31625096,1,4,REML,18.9869008
predict.mr.d.metaplants10,-5.828494553,-10.09831698,-1.558672127,-21.6680632,10.01107409,1,4,REML,2.17852086
,NA,NA,NA,NA,NA,NA,NA,NA,NA
predict.mr.d.metaplants12,1.018292409,-108.2770192,110.313604,-108.9030852,110.93967,1,4,REML,55.76393875
predict.mr.d.metaplants13,-1.315641922,-3.914031992,1.282748148,-10.42847482,7.797190972,1,4,REML,1.32573358
,NA,NA,NA,NA,NA,NA,NA,NA,NA
predict.mr.d.metaplants15,-0.066461183,-2.080347572,1.947425206,-15.77908168,15.64615931,1,4,REML,1.027511936
predict.mr.d.metaplants16,1.162623686,-3.578911658,5.904159031,-5.751359716,8.076607088,1,4,REML,2.419195139
,NA,NA,NA,NA,NA,NA,NA,NA,NA
predict.mr.d.metaplants18,-0.149116752,-9.477074588,9.178841084,-28.38800343,28.08976992,1,4,REML,4.759249614
,NA,NA,NA,NA,NA,NA,NA,NA,NA
predict.mr.d.metaplants20,-12.35255485,-24.86887672,0.163767006,-47.5623101,22.85720039,1,4,REML,6.385995845
,NA,NA,NA,NA,NA,NA,NA,NA,NA
