"","watering","species","nutrient","av","SE"
"1",NA,NA,NA,NA,NA
"CO2treatmenteCO2","Wet","Sorghum","Zn",0.0284436871225324,0.00670369960985855
"CO2treatmenteCO21","Wet","Sorghum","Fe",0.0807530003621393,0.0280754218123852
"4",NA,NA,NA,NA,NA
"CO2treatmenteCO22","Wet","Sorghum","N",0.0404717422832754,0.0259033345136075
"CO2treatmenteCO23","Wet","Sorghum","P",0.0405602984948161,0.0160942448647288
"CO2treatmenteCO24","Wet","Sorghum","K",0.0614121099724405,0.0550630023260719
"CO2treatmenteCO25","Wet","Sorghum","S",0.0383203308839502,0.0131843570416451
"CO2treatmenteCO26","Wet","Sorghum","B",0.0257955142848325,0.0937015696103969
"CO2treatmenteCO27","Wet","Sorghum","Ca",0.223594494872435,0.0900630135584125
"CO2treatmenteCO28","Wet","Sorghum","Mg",0.0394307729570862,0.0201993940426104
"CO2treatmenteCO29","Wet","Sorghum","Mn",0.0576367838196975,0.0518979456302432
"CO2treatmenteCO210","Wet","Sorghum","Cu",0.00884978865552366,0.00173232103604647
"14",NA,NA,NA,NA,NA
"CO2treatmenteCO211","Dry","Sorghum","Zn",-0.0551770724932599,0.0209006391871047
"CO2treatmenteCO212","Dry","Sorghum","Fe",-0.0480882695569713,0.00572465719362293
"17",NA,NA,NA,NA,NA
"CO2treatmenteCO213","Dry","Sorghum","N",-0.039972215190452,0.00363934780770201
"CO2treatmenteCO214","Dry","Sorghum","P",-0.0339875853551463,0.00355501899848654
"CO2treatmenteCO215","Dry","Sorghum","K",-0.00174328096588483,0.00801289382916574
"CO2treatmenteCO216","Dry","Sorghum","S",-0.042748255669034,0.0302324484517245
"CO2treatmenteCO217","Dry","Sorghum","B",-0.0318651377091372,0.0180718119502024
"CO2treatmenteCO218","Dry","Sorghum","Ca",-0.0119616968086742,0.0592146001474138
"CO2treatmenteCO219","Dry","Sorghum","Mg",-0.0431983609178563,0.0100461518925215
"CO2treatmenteCO220","Dry","Sorghum","Mn",-0.0238216822978998,0.0136534319260027
"CO2treatmenteCO221","Dry","Sorghum","Cu",-0.0676312584537309,0.0083546462984429
