"","Crop","Nutrient","Pr.Chi."
"<none>","Wheat","Feu",NA
"CO2treatment","Wheat","Feu",0
"as.factor(WateringRegime)","Wheat","Feu",0.32564
"as.factor(NapplicnQ)","Wheat","Feu",0.8678
"<none>1","Wheat","Yield",NA
"CO2treatment1","Wheat","Yield",0
"as.factor(WateringRegime)1","Wheat","Yield",0.12902
"as.factor(NapplicnQ)1","Wheat","Yield",0.84003
"<none>2","Wheat","Znu",NA
"CO2treatment2","Wheat","Znu",0
"as.factor(WateringRegime)2","Wheat","Znu",0.07407
"as.factor(NapplicnQ)2","Wheat","Znu",0.43173
"<none>3","Wheat","Feu",NA
"CO2treatment3","Wheat","Feu",0
"as.factor(WateringRegime)3","Wheat","Feu",0.32564
"as.factor(NapplicnQ)3","Wheat","Feu",0.8678
"<none>4","Wheat","Phu",NA
"CO2treatment4","Wheat","Phu",0
"as.factor(WateringRegime)4","Wheat","Phu",0.03006
"as.factor(NapplicnQ)4","Wheat","Phu",0.40412
"<none>5","Wheat","Nu",NA
"CO2treatment5","Wheat","Nu",0
"as.factor(WateringRegime)5","Wheat","Nu",0.19457
"as.factor(NapplicnQ)5","Wheat","Nu",0.619
"<none>6","Fieldpeas","Yield",NA
"CO2treatment6","Fieldpeas","Yield",0.0015
"as.factor(WateringRegime)6","Fieldpeas","Yield",0.79294
"<none>7","Fieldpeas","Znu",NA
"CO2treatment7","Fieldpeas","Znu",0.00524
"as.factor(WateringRegime)7","Fieldpeas","Znu",0.63929
"<none>8","Fieldpeas","Feu",NA
"CO2treatment8","Fieldpeas","Feu",0.00217
"as.factor(WateringRegime)8","Fieldpeas","Feu",0.79686
"<none>9","Fieldpeas","Nu",NA
"CO2treatment9","Fieldpeas","Nu",0.00141
"as.factor(WateringRegime)9","Fieldpeas","Nu",0.65507
"<none>10","Fieldpeas","Pu",NA
"CO2treatment10","Fieldpeas","Pu",0.00165
"as.factor(WateringRegime)10","Fieldpeas","Pu",0.37783
"<none>11","Fieldpeas","Ku",NA
"CO2treatment11","Fieldpeas","Ku",5e-04
"as.factor(WateringRegime)11","Fieldpeas","Ku",0.55428
"<none>12","Fieldpeas","Su",NA
"CO2treatment12","Fieldpeas","Su",0.00143
"as.factor(WateringRegime)12","Fieldpeas","Su",0.72851
"<none>13","Fieldpeas","Bu",NA
"CO2treatment13","Fieldpeas","Bu",0.00378
"as.factor(WateringRegime)13","Fieldpeas","Bu",0.92528
"<none>14","Fieldpeas","Cau",NA
"CO2treatment14","Fieldpeas","Cau",0.00687
"as.factor(WateringRegime)14","Fieldpeas","Cau",0.85988
"<none>15","Fieldpeas","Mgu",NA
"CO2treatment15","Fieldpeas","Mgu",0.00135
"as.factor(WateringRegime)15","Fieldpeas","Mgu",0.71003
"<none>16","Fieldpeas","Mnu",NA
"CO2treatment16","Fieldpeas","Mnu",0.00182
"as.factor(WateringRegime)16","Fieldpeas","Mnu",0.41696
"<none>17","Fieldpeas","Cuu",NA
"CO2treatment17","Fieldpeas","Cuu",0.00307
"as.factor(WateringRegime)17","Fieldpeas","Cuu",0.61241
"<none>18","Rice","Znu",NA
"CO2treatment18","Rice","Znu",0
"<none>19","Rice","Feu",NA
"CO2treatment19","Rice","Feu",7e-05
"<none>20","Rice","Nu",NA
"CO2treatment20","Rice","Nu",0.00022
"<none>21","Rice","Pu",NA
"CO2treatment21","Rice","Pu",1e-05
"<none>22","Rice","Ku",NA
"CO2treatment22","Rice","Ku",1e-05
"<none>23","Rice","Su",NA
"CO2treatment23","Rice","Su",0.00076
"<none>24","Rice","Bu",NA
"CO2treatment24","Rice","Bu",0
"<none>25","Rice","Cau",NA
"CO2treatment25","Rice","Cau",2e-05
"<none>26","Rice","Mgu",NA
"CO2treatment26","Rice","Mgu",2e-05
"<none>27","Rice","Mnu",NA
"CO2treatment27","Rice","Mnu",0.11983
"<none>28","Rice","Cuu",NA
"CO2treatment28","Rice","Cuu",0.13175
"<none>29","Sorghum","Znu",NA
"CO2treatment29","Sorghum","Znu",0.24025
"as.factor(WateringRegime)18","Sorghum","Znu",0.11524
"<none>30","Sorghum","Feu",NA
"CO2treatment30","Sorghum","Feu",0.06727
"as.factor(WateringRegime)19","Sorghum","Feu",0.12285
"<none>31","Sorghum","Nu",NA
"CO2treatment31","Sorghum","Nu",0.1763
"as.factor(WateringRegime)20","Sorghum","Nu",0.16591
"<none>32","Sorghum","Pu",NA
"CO2treatment32","Sorghum","Pu",0.17723
"as.factor(WateringRegime)21","Sorghum","Pu",0.06696
"<none>33","Sorghum","Ku",NA
"CO2treatment33","Sorghum","Ku",0.09423
"as.factor(WateringRegime)22","Sorghum","Ku",0.11287
"<none>34","Sorghum","Su",NA
"CO2treatment34","Sorghum","Su",0.16765
"as.factor(WateringRegime)23","Sorghum","Su",0.12239
"<none>35","Sorghum","Bu",NA
"CO2treatment35","Sorghum","Bu",0.20995
"as.factor(WateringRegime)24","Sorghum","Bu",0.20001
"<none>36","Sorghum","Cau",NA
"CO2treatment36","Sorghum","Cau",1e-04
"as.factor(WateringRegime)25","Sorghum","Cau",0.05437
"<none>37","Sorghum","Mgu",NA
"CO2treatment37","Sorghum","Mgu",0.17305
"as.factor(WateringRegime)26","Sorghum","Mgu",0.11044
"<none>38","Sorghum","Mnu",NA
"CO2treatment38","Sorghum","Mnu",0.12136
"as.factor(WateringRegime)27","Sorghum","Mnu",0.09465
"<none>39","Sorghum","Cuu",NA
"CO2treatment39","Sorghum","Cuu",0.36067
"as.factor(WateringRegime)28","Sorghum","Cuu",0.17587
